,userCode,project_id,requestedDevice,userAgent,pageReferrer,year,month,day,hour
63,bc0e5420-87b2-2e52-51bb-02976245cdf0,8267,Mobile,iPhone,Google,2018,1,1,0
72,4829935d-3757-60ef-d0d3-d8e000aaedb0,5287,Mobile,iPhone,HomeWebsite,2018,1,1,0
77,3f0b3f64-468d-8411-efee-debb3facd532,8771,Desktop,Other_OS,Google,2018,1,1,0
78,4829935d-3757-60ef-d0d3-d8e000aaedb0,8657,Mobile,iPhone,HomeWebsite,2018,1,1,0
80,bc0e5420-87b2-2e52-51bb-02976245cdf0,8277,Mobile,iPhone,Google,2018,1,1,0
81,39dba0c3-e628-75ce-2481-56ef8acfd987,4062,Mobile,Android,Other_PageReferer,2018,1,1,0
82,bc0e5420-87b2-2e52-51bb-02976245cdf0,8267,Mobile,iPhone,Google,2018,1,1,0
84,e56f9306-afee-13da-0fcb-3528a536eca7,5589,Mobile,Android,Google,2018,1,1,0
85,4829935d-3757-60ef-d0d3-d8e000aaedb0,2761,Mobile,iPhone,HomeWebsite,2018,1,1,0
88,4829935d-3757-60ef-d0d3-d8e000aaedb0,8766,Mobile,iPhone,HomeWebsite,2018,1,1,0
91,ade442f6-6ba3-55db-655f-e24efcf4ca01,8753,Mobile,Android,Other_PageReferer,2018,1,1,0
95,bea43e2d-4e46-c10d-5a1a-d638393b281e,5679,Mobile,Android,Google,2018,1,1,0
100,2ff405cd-216f-2a8b-4e17-46c429d05dcf,8952,Mobile,Android,HomeWebsite,2018,1,1,0
101,6ca88f4c-0f1b-7b96-4c5b-ad3966dff12f,8439,Mobile,Android,HomeWebsite,2018,1,1,0
103,4829935d-3757-60ef-d0d3-d8e000aaedb0,5237,Mobile,iPhone,HomeWebsite,2018,1,1,0
105,6ca88f4c-0f1b-7b96-4c5b-ad3966dff12f,8439,Mobile,Android,HomeWebsite,2018,1,1,0
106,6ca88f4c-0f1b-7b96-4c5b-ad3966dff12f,8439,Mobile,Android,HomeWebsite,2018,1,1,0
107,4829935d-3757-60ef-d0d3-d8e000aaedb0,9054,Mobile,iPhone,HomeWebsite,2018,1,1,0
108,f5bf38ee-0f5e-1ae1-6f1f-b512ee5c81a1,6269,Mobile,iPhone,Google,2018,1,1,0
109,6225cd05-a333-78aa-f288-ab2b976bf871,7219,Mobile,Android,Google,2018,1,1,0
111,08ebd393-a1a3-8b87-1bc5-ffa5b9b0988d,5377,Mobile,iPhone,HomeWebsite,2018,1,1,0
112,f88a10fa-6029-bf2a-633c-900056e40cc5,6174,Desktop,Macintosh,HomeWebsite,2018,1,1,0
119,f5bf38ee-0f5e-1ae1-6f1f-b512ee5c81a1,6269,Mobile,iPhone,HomeWebsite,2018,1,1,0
120,093add9f-21f9-758d-89c3-bd2447720a4c,9080,Desktop,Windows,HomeWebsite,2018,1,1,0
124,d70bb466-cc32-497e-e2b5-200a4f0a731d,6511,Mobile,iPhone,HomeWebsite,2018,1,1,0
126,bc0e5420-87b2-2e52-51bb-02976245cdf0,8834,Mobile,iPhone,Google,2018,1,1,0
127,08ebd393-a1a3-8b87-1bc5-ffa5b9b0988d,5424,Mobile,iPhone,HomeWebsite,2018,1,1,0
131,bc0e5420-87b2-2e52-51bb-02976245cdf0,8267,Mobile,iPhone,HomeWebsite,2018,1,1,0
133,4829935d-3757-60ef-d0d3-d8e000aaedb0,5053,Mobile,iPhone,HomeWebsite,2018,1,1,0
134,6ca88f4c-0f1b-7b96-4c5b-ad3966dff12f,8439,Mobile,Android,HomeWebsite,2018,1,1,0
137,093add9f-21f9-758d-89c3-bd2447720a4c,9080,Desktop,Windows,HomeWebsite,2018,1,1,0
138,2ff405cd-216f-2a8b-4e17-46c429d05dcf,3151,Mobile,Android,HomeWebsite,2018,1,1,0
140,a900777c-d2fa-4ad4-1e37-bbd6e38fa954,5856,Desktop,Windows,Google,2018,1,1,0
143,7d51f46f-2814-9700-ff74-6e0d4486169b,9099,Mobile,iPhone,Google,2018,1,1,0
146,910858d9-f9be-775a-c96d-974475e2df77,8125,Mobile,Android,Google,2018,1,1,0
150,bc0e5420-87b2-2e52-51bb-02976245cdf0,8834,Mobile,iPhone,Google,2018,1,1,0
151,bc0e5420-87b2-2e52-51bb-02976245cdf0,8277,Mobile,iPhone,HomeWebsite,2018,1,1,0
153,bc0e5420-87b2-2e52-51bb-02976245cdf0,8834,Mobile,iPhone,Google,2018,1,1,0
154,fe7b6809-add1-84ba-a5ed-722fb0369d42,5171,Mobile,iPhone,Google,2018,1,1,0
157,08ebd393-a1a3-8b87-1bc5-ffa5b9b0988d,5424,Mobile,iPhone,HomeWebsite,2018,1,1,0
159,d70bb466-cc32-497e-e2b5-200a4f0a731d,3738,Mobile,iPhone,HomeWebsite,2018,1,1,0
164,bc0e5420-87b2-2e52-51bb-02976245cdf0,5887,Mobile,iPhone,Google,2018,1,1,0
165,a900777c-d2fa-4ad4-1e37-bbd6e38fa954,3796,Desktop,Windows,HomeWebsite,2018,1,1,0
167,24f38838-8ee1-cd74-466d-f368852d57a9,8784,Mobile,iPhone,HomeWebsite,2018,1,1,0
168,4829935d-3757-60ef-d0d3-d8e000aaedb0,8737,Mobile,iPhone,HomeWebsite,2018,1,1,0
169,24f38838-8ee1-cd74-466d-f368852d57a9,8784,Mobile,iPhone,HomeWebsite,2018,1,1,0
171,fe7b6809-add1-84ba-a5ed-722fb0369d42,6910,Mobile,iPhone,HomeWebsite,2018,1,1,0
172,0568caf3-93b0-acc9-223d-9ee8c4aa919d,4062,Mobile,Android,Other_PageReferer,2018,1,1,0
173,250ad76c-4a6b-70c0-15b9-1fe6d17563ff,6060,Mobile,Android,Other_PageReferer,2018,1,1,0
176,a900777c-d2fa-4ad4-1e37-bbd6e38fa954,8913,Desktop,Windows,HomeWebsite,2018,1,1,0
185,13e0a72e-c886-e784-bed1-ffafb8260888,8631,Mobile,iPhone,Facebook,2018,1,1,0
186,4829935d-3757-60ef-d0d3-d8e000aaedb0,3055,Mobile,iPhone,HomeWebsite,2018,1,1,0
188,00934337-1484-76fc-3030-5ba3332bf007,5364,Desktop,Windows,HomeWebsite,2018,1,1,0
189,4829935d-3757-60ef-d0d3-d8e000aaedb0,9095,Mobile,iPhone,HomeWebsite,2018,1,1,0
192,9b537fac-1ddc-dba4-b5e6-d85275f0da46,5485,Mobile,iPhone,HomeWebsite,2018,1,1,0
195,13e0a72e-c886-e784-bed1-ffafb8260888,8631,Mobile,iPhone,HomeWebsite,2018,1,1,0
199,4829935d-3757-60ef-d0d3-d8e000aaedb0,8394,Mobile,iPhone,HomeWebsite,2018,1,1,0
202,4442338a-07fd-e181-f0c4-513f290c65cb,5858,Mobile,iPhone,HomeWebsite,2018,1,1,0
204,4829935d-3757-60ef-d0d3-d8e000aaedb0,8767,Mobile,iPhone,HomeWebsite,2018,1,1,0
208,9b537fac-1ddc-dba4-b5e6-d85275f0da46,4458,Mobile,iPhone,HomeWebsite,2018,1,1,0
211,481d54e6-777f-76f6-045b-72ad01fbed2b,8353,Mobile,Android,Google,2018,1,1,0
214,9b537fac-1ddc-dba4-b5e6-d85275f0da46,8717,Mobile,iPhone,HomeWebsite,2018,1,1,0
215,4829935d-3757-60ef-d0d3-d8e000aaedb0,8503,Mobile,iPhone,HomeWebsite,2018,1,1,0
229,4442338a-07fd-e181-f0c4-513f290c65cb,5067,Mobile,iPhone,HomeWebsite,2018,1,1,0
236,820dd6ee-e028-3aaa-64a7-49f9ae457178,7973,Mobile,iPhone,Facebook,2018,1,1,0
238,4832b507-4292-5d5a-9591-25e61d7042f6,8245,Mobile,iPhone,HomeWebsite,2018,1,1,0
241,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
242,4832b507-4292-5d5a-9591-25e61d7042f6,9069,Mobile,iPhone,HomeWebsite,2018,1,1,0
245,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
246,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
247,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
248,e406e513-f97a-a172-779a-9b98b4358c24,4161,Mobile,iPhone,Google,2018,1,1,0
249,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
251,c540e69e-1aaa-c13f-be0d-1ad382957955,3726,Mobile,Android,HomeWebsite,2018,1,1,0
253,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
254,057e9308-6f14-ba38-0221-da517741fb29,5858,Mobile,iPhone,Facebook,2018,1,1,0
256,4832b507-4292-5d5a-9591-25e61d7042f6,9069,Mobile,iPhone,HomeWebsite,2018,1,1,0
258,c540e69e-1aaa-c13f-be0d-1ad382957955,3726,Mobile,Android,HomeWebsite,2018,1,1,0
262,12c783ab-728b-2352-29d0-20c40fd39ad7,2979,Mobile,iPhone,Google,2018,1,1,0
263,12c783ab-728b-2352-29d0-20c40fd39ad7,2979,Mobile,iPhone,Google,2018,1,1,0
264,12c783ab-728b-2352-29d0-20c40fd39ad7,2979,Mobile,iPhone,Google,2018,1,1,0
265,4832b507-4292-5d5a-9591-25e61d7042f6,3673,Mobile,iPhone,HomeWebsite,2018,1,1,0
267,6b125fb7-d36d-b6c7-fdeb-d5e91af9d650,8228,Mobile,iPad,Google,2018,1,1,0
268,90cabc99-4780-0fbc-84e9-5f0230ddd580,5495,Mobile,iPhone,Google,2018,1,1,0
270,97a09d55-f21c-a80b-9b91-83c2467a951f,7973,Mobile,iPhone,Facebook,2018,1,1,0
274,cd61550f-cf8b-2683-a6ff-5d3ba8e73ce1,3525,Mobile,Android,Google,2018,1,1,0
275,cd61550f-cf8b-2683-a6ff-5d3ba8e73ce1,3525,Mobile,Android,Google,2018,1,1,0
277,bdfad549-0be0-f387-0a96-f8633f4f1562,5287,Mobile,iPhone,Google,2018,1,1,0
280,b35a286b-58a0-ddd9-996f-ab80cd7d27b5,5398,Mobile,iPhone,Google,2018,1,1,0
285,d183fa1e-d00f-e300-d599-165acead908f,4679,Desktop,Windows,Google,2018,1,1,0
300,f17e8866-3124-7cbf-72fc-37054c7226a2,9247,Desktop,Macintosh,HomeWebsite,2018,1,1,1
301,18a2bf35-1abe-e603-aa91-301491396600,7973,Mobile,iPhone,Facebook,2018,1,1,1
307,f17e8866-3124-7cbf-72fc-37054c7226a2,8948,Desktop,Macintosh,HomeWebsite,2018,1,1,1
311,31bb9bf0-8ad5-3e50-f334-e6c7de89bac5,5858,Mobile,Android,Other_PageReferer,2018,1,1,1
314,16cde5e8-98ff-6be6-5f60-82bb6681673d,6511,Mobile,Android,HomeWebsite,2018,1,1,1
315,907fc637-c1f4-02a7-b7ca-d3c3592019b1,6432,Mobile,iPhone,HomeWebsite,2018,1,1,1
317,80ed7968-baf2-1f2f-6ab3-fd749d327880,8259,Mobile,iPhone,Google,2018,1,1,1
318,31bb9bf0-8ad5-3e50-f334-e6c7de89bac5,5678,Mobile,Android,Other_PageReferer,2018,1,1,1
319,16cde5e8-98ff-6be6-5f60-82bb6681673d,2101,Mobile,Android,HomeWebsite,2018,1,1,1
321,fb5d9234-a41d-f148-8ad0-4a3b348cca24,2671,Mobile,iPhone,Google,2018,1,1,1
334,16cde5e8-98ff-6be6-5f60-82bb6681673d,2096,Mobile,Android,HomeWebsite,2018,1,1,1
335,dc09e06a-5672-8857-7167-57dc4f2e3d31,8586,Mobile,iPhone,Google,2018,1,1,1
337,597c18f1-dd4a-fb64-3dce-7786a3d4dc7d,4062,Mobile,Android,Other_PageReferer,2018,1,1,1
339,d183fa1e-d00f-e300-d599-165acead908f,4679,Desktop,Windows,Google,2018,1,1,1
341,597c18f1-dd4a-fb64-3dce-7786a3d4dc7d,4062,Mobile,Android,Other_PageReferer,2018,1,1,1
342,7ff9a831-6edd-8bf1-ea5b-dcda1fd67b3e,4798,Mobile,iPhone,HomeWebsite,2018,1,1,1
343,41ce15a8-67cd-f261-e43b-458228e64951,8210,Mobile,Android,Google,2018,1,1,1
344,8170b4ee-8119-b848-2d46-ea18789f4194,6026,Mobile,iPhone,Google,2018,1,1,1
345,8170b4ee-8119-b848-2d46-ea18789f4194,6026,Mobile,iPhone,Google,2018,1,1,1
346,d183fa1e-d00f-e300-d599-165acead908f,9159,Desktop,Windows,HomeWebsite,2018,1,1,1
350,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
351,dc09e06a-5672-8857-7167-57dc4f2e3d31,5886,Mobile,iPhone,HomeWebsite,2018,1,1,1
353,732d1810-9436-a124-a9a8-4b35d0877776,9045,Desktop,Windows,Other_PageReferer,2018,1,1,1
356,bde68734-2492-8e34-1774-0ab644a35800,5548,Mobile,iPhone,HomeWebsite,2018,1,1,1
357,caa5808a-a325-5d23-4f8a-64f00911b33b,291,Mobile,Android,HomeWebsite,2018,1,1,1
359,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
360,97ce3a65-76ef-23da-59c4-e082b386c2b9,8618,Mobile,iPhone,Google,2018,1,1,1
361,caa5808a-a325-5d23-4f8a-64f00911b33b,9080,Mobile,Android,HomeWebsite,2018,1,1,1
362,41ce15a8-67cd-f261-e43b-458228e64951,8210,Mobile,Android,HomeWebsite,2018,1,1,1
363,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
365,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
366,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
367,0516f2c7-cea7-946e-e92d-aa381748d004,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
368,41ce15a8-67cd-f261-e43b-458228e64951,8210,Mobile,Android,HomeWebsite,2018,1,1,1
369,6c54c3f2-9db9-aedf-aa03-64e5d9bc1587,8276,Mobile,Android,HomeWebsite,2018,1,1,1
370,0516f2c7-cea7-946e-e92d-aa381748d004,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
373,fb5d9234-a41d-f148-8ad0-4a3b348cca24,2671,Mobile,iPhone,Google,2018,1,1,1
377,88f66f5c-eebe-eec9-f6cd-cd289cc39b81,4304,Mobile,iPhone,Other_PageReferer,2018,1,1,1
378,88f66f5c-eebe-eec9-f6cd-cd289cc39b81,4304,Mobile,iPhone,Other_PageReferer,2018,1,1,1
380,de89bac5-57c6-ecfb-184d-cc4e973c31ac,8618,Desktop,Other_OS,Other_PageReferer,2018,1,1,1
382,41ce15a8-67cd-f261-e43b-458228e64951,8210,Mobile,Android,HomeWebsite,2018,1,1,1
385,0516f2c7-cea7-946e-e92d-aa381748d004,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
386,17e645ba-b49d-9554-7e13-3903391056fc,6372,Mobile,iPhone,Google,2018,1,1,1
388,def3e6b1-1275-d038-45ab-2d86ea7cf0f6,7973,Mobile,iPhone,Facebook,2018,1,1,1
391,def3e6b1-1275-d038-45ab-2d86ea7cf0f6,7973,Mobile,iPhone,HomeWebsite,2018,1,1,1
395,2a89e78d-435d-7194-8e20-d70d478e4bd5,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
401,0516f2c7-cea7-946e-e92d-aa381748d004,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
407,fa611a2b-ea44-01b6-a30a-1ae83420db19,3743,Mobile,Android,Google,2018,1,1,1
411,b810f825-a0d2-ad7f-caf9-15a983bdcb58,9275,Desktop,Windows,HomeWebsite,2018,1,1,1
416,e42095c8-37ff-ec35-5acf-d00a54bb44a3,3756,Desktop,Android,Google,2018,1,1,1
417,d34c11af-4acf-8f98-3f32-ecdc82f33e00,6068,Mobile,iPhone,Google,2018,1,1,1
421,e42095c8-37ff-ec35-5acf-d00a54bb44a3,6521,Desktop,Android,HomeWebsite,2018,1,1,1
422,cafb7013-a7f2-363f-a6eb-fc8214ca2c6c,5417,Mobile,Android,Google,2018,1,1,1
424,59889dac-29fa-8532-ae99-c3c1cb2c0076,2399,Mobile,Android,Google,2018,1,1,1
425,59889dac-29fa-8532-ae99-c3c1cb2c0076,4472,Mobile,Android,Google,2018,1,1,1
434,9edc544e-49d5-cb55-3bcc-03ac4a882748,2083,Mobile,Android,HomeWebsite,2018,1,1,1
437,8a3e3b92-75a2-e151-fda4-1bd3f4d498a5,1258,Mobile,Android,HomeWebsite,2018,1,1,1
441,9edc544e-49d5-cb55-3bcc-03ac4a882748,2083,Mobile,Android,HomeWebsite,2018,1,1,1
442,d8da26a8-ec71-63b6-06c6-fc78325c9ba2,5009,Mobile,iPhone,Google,2018,1,1,1
443,6f445123-eb58-f1b1-75e5-17f780ea99cd,6656,Mobile,Android,Google,2018,1,1,1
454,2ab7e078-319a-1f68-0a19-cbf9b45931ad,9317,Mobile,Android,Facebook,2018,1,1,1
455,2ab7e078-319a-1f68-0a19-cbf9b45931ad,6427,Mobile,Android,HomeWebsite,2018,1,1,1
459,4097a4c9-7fc4-dc9f-da5f-0575701acf3f,9069,Mobile,iPhone,Google,2018,1,1,1
460,bd55c6e5-d15e-3217-4bce-f44b6b30dc28,5053,Mobile,Android,Google,2018,1,1,1
464,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
467,8a3e3b92-75a2-e151-fda4-1bd3f4d498a5,9112,Mobile,Android,Other_PageReferer,2018,1,1,1
469,5bb20ecd-b326-3e2f-db8b-bd100fea09ee,5009,Mobile,iPhone,HomeWebsite,2018,1,1,1
470,e42095c8-37ff-ec35-5acf-d00a54bb44a3,3756,Desktop,Android,Google,2018,1,1,1
473,8a3e3b92-75a2-e151-fda4-1bd3f4d498a5,9112,Mobile,Android,Other_PageReferer,2018,1,1,1
474,8a3e3b92-75a2-e151-fda4-1bd3f4d498a5,9112,Mobile,Android,Other_PageReferer,2018,1,1,1
476,8a3e3b92-75a2-e151-fda4-1bd3f4d498a5,9112,Mobile,Android,Other_PageReferer,2018,1,1,1
480,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
481,b52f07a8-cdca-da0f-320e-e47812afb039,9271,Mobile,Android,Google,2018,1,1,1
482,5bb20ecd-b326-3e2f-db8b-bd100fea09ee,2676,Mobile,iPhone,Google,2018,1,1,1
483,1221777c-7856-60a5-ccf7-0cdbb0087f8f,8902,Mobile,Android,Google,2018,1,1,1
484,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,1
486,0516f2c7-cea7-946e-e92d-aa381748d004,7039,Desktop,Windows,HomeWebsite,2018,1,1,1
488,d92fc111-7e3e-6df8-9547-fe20e705d421,8926,Desktop,Windows,HomeWebsite,2018,1,1,1
490,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
491,1221777c-7856-60a5-ccf7-0cdbb0087f8f,7891,Mobile,Android,HomeWebsite,2018,1,1,1
493,e3e65bf1-3fc1-8b26-097a-1da6003e1572,9317,Mobile,Android,Facebook,2018,1,1,1
495,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
497,503ddd96-4b68-20d3-b6a6-fd7ce3e700f2,5577,Mobile,Android,Google,2018,1,1,1
498,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
500,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
501,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
502,503ddd96-4b68-20d3-b6a6-fd7ce3e700f2,5577,Mobile,Android,HomeWebsite,2018,1,1,1
504,8011b304-e836-22e0-320c-ac67aa1286c2,7587,Mobile,Android,Google,2018,1,1,1
506,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,1
508,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,2
511,1e36ff39-965b-706d-27c9-871d9018c7fa,9303,Mobile,Android,HomeWebsite,2018,1,1,2
518,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,2
519,1e36ff39-965b-706d-27c9-871d9018c7fa,9155,Mobile,Android,HomeWebsite,2018,1,1,2
520,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,2
521,c13512cc-e3eb-4e3c-7a27-03d57b6e10c5,3064,Mobile,iPhone,Google,2018,1,1,2
522,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,2
523,8011b304-e836-22e0-320c-ac67aa1286c2,7575,Mobile,Android,Google,2018,1,1,2
524,1e36ff39-965b-706d-27c9-871d9018c7fa,5162,Mobile,Android,HomeWebsite,2018,1,1,2
527,1e36ff39-965b-706d-27c9-871d9018c7fa,8358,Mobile,Android,HomeWebsite,2018,1,1,2
528,d8da26a8-ec71-63b6-06c6-fc78325c9ba2,6125,Mobile,iPhone,Google,2018,1,1,2
530,e898646e-b000-4e3d-f26f-b45fab543b2e,5496,Mobile,iPhone,Google,2018,1,1,2
534,1e36ff39-965b-706d-27c9-871d9018c7fa,4713,Mobile,Android,HomeWebsite,2018,1,1,2
535,d92fc111-7e3e-6df8-9547-fe20e705d421,4423,Desktop,Windows,HomeWebsite,2018,1,1,2
536,1e36ff39-965b-706d-27c9-871d9018c7fa,6029,Mobile,Android,HomeWebsite,2018,1,1,2
538,b810f825-a0d2-ad7f-caf9-15a983bdcb58,9211,Desktop,Windows,HomeWebsite,2018,1,1,2
539,2a22a303-9454-154f-d7af-6d98501eaa4f,2593,Mobile,iPhone,Google,2018,1,1,2
541,1e36ff39-965b-706d-27c9-871d9018c7fa,6029,Mobile,Android,HomeWebsite,2018,1,1,2
542,2a22a303-9454-154f-d7af-6d98501eaa4f,2593,Mobile,iPhone,HomeWebsite,2018,1,1,2
545,1e36ff39-965b-706d-27c9-871d9018c7fa,8355,Mobile,Android,HomeWebsite,2018,1,1,2
546,de89bac5-57c6-ecfb-184d-cc4e973c31ac,7376,Desktop,Other_OS,Other_PageReferer,2018,1,1,2
547,1e36ff39-965b-706d-27c9-871d9018c7fa,8355,Mobile,Android,HomeWebsite,2018,1,1,2
550,a3ca50b4-39f7-df29-97a4-a601739ba85c,8760,Desktop,Windows,HomeWebsite,2018,1,1,2
552,1716937b-cf43-4c2f-7aa2-77ed3586dd91,5549,Mobile,iPhone,Google,2018,1,1,2
553,d764ba3d-6e8c-ad2c-764d-5a862a5306ae,5452,Mobile,iPhone,Google,2018,1,1,2
554,8c63ceb0-2220-3a49-c730-05f23f50b698,7113,Mobile,iPad,HomeWebsite,2018,1,1,2
556,b810f825-a0d2-ad7f-caf9-15a983bdcb58,8425,Desktop,Windows,HomeWebsite,2018,1,1,2
557,fdf731ec-c362-dbcf-44ae-02f5d4f44052,4482,Mobile,Android,Google,2018,1,1,2
560,d764ba3d-6e8c-ad2c-764d-5a862a5306ae,5452,Mobile,iPhone,Google,2018,1,1,2
562,9d96b60e-0d17-2db4-4146-bb334c92e8ab,4449,Mobile,iPhone,HomeWebsite,2018,1,1,2
563,914352ee-4b6c-ae13-eec8-08e803fb25ed,3738,Mobile,iPhone,HomeWebsite,2018,1,1,2
564,53718d36-7074-da2b-f2ce-a872a42f7196,7694,Mobile,iPhone,HomeWebsite,2018,1,1,2
565,9d96b60e-0d17-2db4-4146-bb334c92e8ab,4449,Mobile,iPhone,HomeWebsite,2018,1,1,2
566,8c63ceb0-2220-3a49-c730-05f23f50b698,3545,Mobile,iPad,HomeWebsite,2018,1,1,2
567,914352ee-4b6c-ae13-eec8-08e803fb25ed,3738,Mobile,iPhone,HomeWebsite,2018,1,1,2
568,1bff4395-04e7-0903-ec83-68c16a53a35d,9317,Mobile,iPhone,Facebook,2018,1,1,2
569,53718d36-7074-da2b-f2ce-a872a42f7196,7694,Mobile,iPhone,HomeWebsite,2018,1,1,2
570,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,2
573,b810f825-a0d2-ad7f-caf9-15a983bdcb58,8472,Desktop,Windows,HomeWebsite,2018,1,1,2
574,8c63ceb0-2220-3a49-c730-05f23f50b698,7113,Mobile,iPad,HomeWebsite,2018,1,1,2
576,8c63ceb0-2220-3a49-c730-05f23f50b698,3311,Mobile,iPad,HomeWebsite,2018,1,1,2
577,b810f825-a0d2-ad7f-caf9-15a983bdcb58,8426,Desktop,Windows,HomeWebsite,2018,1,1,2
578,53718d36-7074-da2b-f2ce-a872a42f7196,7694,Mobile,iPhone,HomeWebsite,2018,1,1,2
579,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,2
580,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,2
582,b810f825-a0d2-ad7f-caf9-15a983bdcb58,8466,Desktop,Windows,HomeWebsite,2018,1,1,2
583,d764ba3d-6e8c-ad2c-764d-5a862a5306ae,5452,Mobile,iPhone,Google,2018,1,1,2
584,1e36ff39-965b-706d-27c9-871d9018c7fa,8970,Mobile,Android,HomeWebsite,2018,1,1,2
587,0516f2c7-cea7-946e-e92d-aa381748d004,9074,Desktop,Windows,HomeWebsite,2018,1,1,2
